,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred.Foot,Weak.Foot,Skill.Moves,Position,Contract.Valid.Until,Height,Weight,Release.Clause,pac,shot,pas,dri,deff,phy,Meter,Kilo
9354,A. Ludwig,25,Denmark,66,73,775000,4000,Left,B,C,LCB,2022,6.0,187,1100000,62,39,56,60,64,71,1.83,84.8
9355,C. Dunne,25,Republic of Ireland,66,68,650000,2000,Left,C,C,LCB,2020,6.2,190,1200000,84,40,42,61,63,74,1.88,86.2
9357,J. Gómez,22,Colombia,66,77,975000,1000,Right,B,C,CB,2023,6.0,172,1600000,52,34,39,57,64,74,1.83,78.0
9358,J. Aribo,21,England,66,77,1100000,3000,Left,B,B,LCM,2019,6.0,168,2100000,82,50,64,67,56,59,1.83,76.2
9359,Gabriel,20,Brazil,66,77,975000,6000,Left,C,C,CB,2021,6.3,192,2100000,59,34,39,50,66,67,1.91,87.1
9360,C. Machado,28,Bolivia,66,67,575000,3000,Right,B,C,CDM,2021,5.8,154,877000,67,50,51,64,63,64,1.73,69.9
9361,L. Kruse,34,Germany,66,66,260000,2000,Right,B,D,GK,2020,6.1,185,377000,42,14,18,34,14,50,1.85,83.9
9362,S. McConville,29,England,66,66,625000,2000,Right,B,B,LM,2021,5.11,163,1100000,78,59,63,65,40,58,1.8,73.9
9363,D. Drocco,29,Argentina,66,66,625000,5000,Right,B,C,CM,2019,5.6,154,938000,66,57,64,69,56,76,1.68,69.9
9364,A. Sušac,29,Croatia,66,66,500000,2000,Right,B,C,RCB,2019,6.1,176,725000,62,35,34,56,66,71,1.85,79.8
9365,M. Perlak,32,Austria,66,66,500000,6000,Right,B,B,CAM,2019,5.7,132,725000,65,57,61,69,46,56,1.7,59.9
9366,B. Clarke,30,Republic of Ireland,66,66,625000,4000,Left,C,B,ST,2019,5.7,141,1100000,68,65,53,74,37,74,1.7,64.0
9367,Eduardo,25,Brazil,66,67,625000,3000,Left,B,C,CB,2019,6.0,185,859000,63,35,38,52,64,76,1.83,83.9
9368,K. Dawson,28,Republic of Ireland,66,66,650000,4000,Right,B,C,RM,2019,5.10,176,1100000,82,52,57,62,48,70,1.78,79.8
9369,H. McGahey,22,England,66,74,825000,2000,Right,B,C,RCB,2020,6.2,187,1600000,79,33,44,50,65,70,1.88,84.8
9370,Gu Chao,28,China PR,66,68,550000,5000,Right,B,D,GK,2020,6.4,190,1200000,49,19,25,40,15,54,1.93,86.2
9371,R. Caballero,27,Paraguay,66,66,675000,1000,Left,B,C,ST,2021,6.0,176,911000,64,64,39,61,26,61,1.83,79.8
9372,Ever Rodeiro,34,Brazil,66,66,325000,7000,Right,B,B,CAM,2021,5.8,157,618000,61,64,58,69,50,63,1.73,71.2
9374,C. Cercado,29,Mexico,66,66,500000,3000,Left,B,C,CB,2019,5.7,150,825000,53,42,52,53,63,70,1.7,68.0
9375,H. Al Raheb,34,Saudi Arabia,66,66,350000,10000,Right,B,C,ST,2022,5.6,139,578000,76,61,41,64,32,68,1.68,63.0
9376,C. Schuler,30,United States,66,66,475000,2000,Left,C,C,CB,2022,6.4,205,713000,42,36,40,41,64,69,1.93,93.0
9377,S. Mantom,26,England,66,68,775000,3000,Right,B,C,RDM,2020,5.9,154,1400000,62,59,62,65,57,66,1.75,69.9
9379,J. Dongou Tsafack,23,Cameroon,66,73,925000,3000,Right,B,C,ST,2020,5.9,154,1700000,86,60,46,68,28,67,1.75,69.9
9380,P. Mainka,23,Germany,66,71,725000,3000,Right,B,C,RCB,2020,6.4,190,1200000,55,39,43,50,66,60,1.93,86.2
9381,A. Kantari,33,Morocco,66,66,260000,2000,Left,B,C,LCB,2020,6.1,172,455000,45,34,43,54,64,67,1.85,78.0
9382,T. Mavromatis,21,Greece,66,74,825000,1000,Left,C,C,LCB,2020,6.1,170,2000000,60,36,39,51,65,69,1.85,77.1
9383,Li Lei,26,China PR,66,68,625000,5000,Left,B,C,LB,2021,6.0,146,1400000,73,44,57,59,62,70,1.83,66.2
9384,Raphael Doninho,30,Brazil,66,66,600000,8000,Right,B,B,CAM,2021,5.6,141,1100000,71,58,61,70,44,64,1.68,64.0
9385,K. Bülow,32,Germany,66,66,375000,1000,Right,B,C,LDM,2020,6.2,179,544000,36,42,50,54,66,74,1.88,81.2
9386,R. Magyar,27,Sweden,66,67,600000,3000,Right,C,C,LCB,2019,6.4,187,975000,52,37,49,54,64,64,1.93,84.8
9387,F. Brillant,33,France,66,66,260000,2000,Right,B,C,RCB,2018,6.2,181,390000,32,37,42,48,66,70,1.88,82.1
9388,K. Tamada,38,Japan,66,66,220000,2000,Left,B,B,RF,2018,5.8,148,275000,62,65,59,67,38,62,1.73,67.1
9389,M. Ballmert,24,Germany,66,69,675000,1000,Right,B,C,RB,2019,5.8,150,1000000,71,36,44,67,62,74,1.73,68.0
9390,M. Laínez,22,Mexico,66,72,875000,2000,Left,B,B,RM,2019,5.7,146,1600000,77,56,57,68,59,59,1.7,66.2
9391,K. Mayi,25,France,66,70,850000,3000,Right,B,B,ST,2020,6.0,172,1600000,83,60,48,66,27,62,1.83,78.0
9392,N. Manfredini,30,Italy,66,66,425000,1000,Right,C,D,GK,2019,6.3,176,659000,44,15,19,37,16,42,1.91,79.8
9393,K. Koizumi,23,Japan,66,72,750000,3000,Right,B,C,RB,2021,5.8,152,1100000,77,47,48,59,61,68,1.73,68.9
9394,C. Aneke,24,England,66,71,875000,5000,Right,B,B,ST,2019,6.3,183,1600000,48,63,62,62,54,71,1.91,83.0
9395,Juan Cruz,25,Spain,66,67,625000,2000,Left,B,C,LB,2019,5.11,154,1000000,73,38,52,58,62,68,1.8,69.9
9398,E. Aydoğan,21,Turkey,66,80,1400000,4000,Left,A,C,CM,2020,6.0,170,3700000,69,57,62,64,50,63,1.83,77.1
9399,V. Pule,26,South Africa,66,67,750000,1000,Left,B,B,LW,2021,5.7,141,1700000,78,69,53,67,40,52,1.7,64.0
9400,Daniel Fuzato,20,Brazil,66,76,800000,7000,Right,B,D,GK,2022,6.3,194,1500000,25,14,23,31,12,32,1.91,88.0
9402,D. de Vries,37,Netherlands,66,66,40000,7000,Right,B,D,GK,2019,6.3,212,72000,33,13,28,38,16,50,1.91,96.2
9403,A. Lithgow,30,Scotland,66,66,475000,2000,Right,B,C,LCB,2020,6.1,187,831000,57,35,39,53,65,68,1.85,84.8
9404,L. Nicholls,25,England,66,71,625000,4000,Right,B,D,GK,2020,6.3,187,1100000,41,15,25,38,12,43,1.91,84.8
9405,R. Teibert,25,Canada,66,70,700000,2000,Left,B,B,CDM,2020,5.8,146,1100000,65,54,63,70,60,59,1.73,66.2
9406,M. Figueroa,28,Argentina,66,66,675000,4000,Right,B,B,ST,2023,5.7,159,979000,70,63,63,68,27,58,1.7,72.1
9407,A. Nübel,21,Germany,66,78,925000,4000,Right,S,D,GK,2020,6.4,190,1800000,47,15,20,37,16,48,1.93,86.2
9408,Z. Al Sahafi,24,Saudi Arabia,66,70,700000,8000,Right,C,C,CB,2021,6.2,161,1200000,54,58,51,54,61,76,1.88,73.0
9409,J. Schouten,21,Netherlands,66,73,900000,2000,Right,B,A,RDM,2021,6.1,159,1500000,67,59,53,66,56,58,1.85,72.1
9410,R. Rep,28,Slovenia,66,66,650000,3000,Left,A,B,CAM,2020,5.10,159,943000,73,57,62,61,27,52,1.78,72.1
9411,M. Rubin,30,Italy,66,66,475000,1000,Left,B,C,LB,2019,6.0,165,760000,77,44,63,63,58,76,1.83,74.8
9412,L. Guldan,35,Slovakia,66,66,150000,2000,Right,B,C,LCB,2019,6.0,181,203000,35,34,49,55,65,71,1.83,82.1
9413,C. Telo,28,Sweden,66,66,500000,2000,Right,S,B,LB,2019,5.8,159,625000,79,48,62,72,56,71,1.73,72.1
9414,M. Pearson,24,England,66,70,700000,3000,Right,B,C,RCB,2021,6.3,159,1300000,64,45,45,58,65,69,1.91,72.1
9415,Ricardo Alves,27,Portugal,66,69,650000,2000,Right,B,C,CB,2021,6.0,172,1400000,69,45,48,58,63,72,1.83,78.0
9416,T. Paredes,25,Paraguay,66,71,725000,5000,Right,C,C,CB,2021,6.0,183,1100000,58,26,28,49,65,66,1.83,83.0
9417,Kauã Reisende,26,Brazil,66,66,700000,4000,Right,B,B,CAM,2021,6.0,165,1300000,70,58,57,58,30,50,1.83,74.8
9418,L. Madrigal,25,Mexico,66,70,850000,13000,Right,B,C,ST,2021,6.3,198,1500000,39,61,54,55,39,67,1.91,89.8
9419,Augusto César,25,Brazil,66,68,775000,3000,Right,C,B,CAM,2022,5.10,152,1400000,74,57,60,64,58,72,1.78,68.9
9420,D. Holm,32,Norway,66,66,475000,2000,Left,B,B,RDM,2018,5.11,174,594000,64,62,67,68,57,69,1.8,78.9
9421,Y. Akimoto,30,Japan,66,66,425000,1000,Right,B,D,GK,2019,6.0,185,531000,44,16,24,33,15,47,1.83,83.9
9422,J. Beckford,34,Jamaica,66,66,350000,5000,Right,A,C,ST,2019,6.2,183,613000,64,65,47,63,34,69,1.88,83.0
9423,N. Crovetto,32,Chile,66,66,350000,2000,Left,B,C,LB,2018,5.9,154,473000,75,48,59,63,58,69,1.75,69.9
9424,Y. Maruyama,29,Japan,66,66,500000,3000,Left,B,C,CB,2021,6.0,168,625000,61,35,46,55,65,67,1.83,76.2
9425,B. Jatta,20,Gambia,66,77,1100000,3000,Right,B,C,LM,2019,6.0,174,2000000,81,62,55,60,32,58,1.83,78.9
9426,G. Merebashvili,31,Georgia,66,66,575000,2000,Right,B,B,LM,2019,5.10,165,776000,70,55,60,68,37,62,1.78,74.8
9427,D. Vaughan,35,Wales,66,66,150000,4000,Left,B,C,CDM,2019,5.6,154,263000,33,62,67,71,61,60,1.68,69.9
9428,T. Mauricio,24,France,66,72,875000,2000,Left,B,B,RM,2020,5.7,148,1700000,75,63,55,71,32,49,1.7,67.1
9429,K. Dougall,25,Australia,66,68,650000,3000,Right,A,B,CDM,2020,6.0,174,1200000,69,42,52,63,63,71,1.83,78.9
9430,D. Arreola,32,Mexico,66,66,375000,3000,Left,B,B,LCB,2019,5.11,159,638000,70,64,66,65,65,66,1.8,72.1
9431,J. Cousins,24,England,66,68,775000,3000,Right,B,B,CM,2019,5.10,159,1500000,76,54,50,69,58,74,1.78,72.1
9432,J. Duma,24,Argentina,66,68,800000,1000,Right,A,B,RW,2018,5.9,163,1100000,79,60,56,63,25,59,1.75,73.9
9434,J. Martínez,23,Peru,66,74,950000,2000,Right,B,C,ST,2020,5.11,159,1700000,77,62,55,62,29,59,1.8,72.1
9435,C. Schoppenhauer,26,Germany,66,68,650000,5000,Right,C,C,CB,2019,6.1,170,1100000,49,22,33,52,66,70,1.85,77.1
9436,L. Roberts,23,England,66,72,650000,2000,Left,B,D,GK,2020,6.4,181,1300000,46,16,29,40,17,45,1.93,82.1
9437,M. Pellegrini,18,Argentina,66,83,1300000,2000,Left,B,B,LM,2020,5.9,152,2800000,73,58,57,67,49,48,1.75,68.9
9438,C. Schwegler,34,Switzerland,66,66,180000,4000,Right,B,C,RB,2019,5.9,163,261000,72,43,56,64,62,76,1.75,73.9
9439,K. Petersen,33,Denmark,66,66,260000,4000,Right,B,C,CB,2018,6.2,183,325000,36,34,44,51,64,72,1.88,83.0
9440,J. Vet,24,Netherlands,66,69,675000,2000,Right,B,C,CDM,2020,6.3,187,1000000,64,51,56,59,60,76,1.91,84.8
9441,H. Kawano,28,Japan,66,66,650000,2000,Left,B,B,RM,2020,5.6,143,813000,64,60,58,70,57,65,1.68,64.9
9442,F. Stokkers,22,Netherlands,66,71,875000,3000,Right,B,C,ST,2019,6.1,174,1300000,70,62,40,64,29,65,1.85,78.9
9443,G. Gómez,22,Argentina,66,75,750000,4000,Right,C,D,GK,2021,6.3,218,1300000,24,10,21,33,10,46,1.91,98.9
9444,M. Lund,27,Northern Ireland,66,66,650000,4000,Right,B,C,LCM,2020,6.0,168,1100000,67,56,62,62,65,72,1.83,76.2
9445,M. Jankowski,28,Poland,66,66,650000,2000,Right,B,B,ST,2019,5.11,150,878000,75,61,56,68,49,71,1.8,68.0
9446,A. Maisonnial,20,France,66,79,1000000,4000,Right,B,D,GK,2022,6.2,163,2100000,62,16,20,39,16,46,1.88,73.9
9447,M. Lugo,28,Paraguay,66,66,650000,5000,Left,B,B,RCM,2019,5.10,161,943000,59,60,66,69,49,49,1.78,73.0
9448,D. Niwa,32,Japan,66,66,375000,3000,Right,B,C,CB,2021,5.11,159,469000,44,34,38,52,65,63,1.8,72.1
9449,C. Riegler,26,Austria,66,69,550000,4000,Right,C,D,GK,2019,6.1,183,839000,30,11,22,32,11,45,1.85,83.0
9450,R. Lundqvist,21,Sweden,66,75,1000000,3000,Right,B,B,CAM,2019,5.10,163,1600000,73,59,59,66,33,56,1.78,73.9
9451,S. Muniru,25,Ghana,66,71,725000,4000,Right,B,C,CDM,2020,5.10,161,1500000,66,54,55,65,61,61,1.78,73.0
9452,Zhang Lu,30,China PR,66,66,425000,5000,Right,B,D,GK,2020,6.4,187,914000,53,14,23,41,18,48,1.93,84.8
9453,J. Reeves,25,England,66,71,850000,4000,Right,B,B,CM,2020,5.7,154,1600000,74,50,59,71,52,76,1.7,69.9
9454,E. Ward,33,England,66,66,260000,5000,Right,B,C,LCB,2019,6.1,183,455000,36,37,37,48,65,70,1.85,83.0
9455,J. Tamm,26,Estonia,66,69,675000,2000,Left,C,C,LCB,2019,6.4,214,894000,59,51,44,51,62,70,1.93,97.1
9456,M. Heylen,24,Belgium,66,70,700000,4000,Right,B,C,RCB,2020,6.2,181,1100000,51,39,48,52,65,65,1.88,82.1
9457,G. Gallon,25,France,66,70,600000,2000,Right,C,D,GK,2019,6.1,174,1100000,40,17,19,39,15,44,1.85,78.9
9458,T. Adarabioyo,20,England,66,76,925000,6000,Right,B,C,CB,2021,6.5,176,1900000,52,28,36,57,65,66,1.96,79.8
9459,L. Martin,31,England,66,66,575000,4000,Right,A,B,LM,2019,5.11,176,1000000,73,62,63,63,49,74,1.8,79.8
9461,Trujillo,30,Spain,66,66,475000,3000,Right,B,C,CB,2019,5.10,174,736000,56,37,44,56,63,72,1.78,78.9
9462,Kim Yong Dae,38,Korea Republic,66,66,40000,1000,Right,B,D,GK,2018,6.2,179,50000,50,15,26,44,17,45,1.88,81.2
9463,E. Babayan,22,Armenia,66,72,875000,3000,Right,A,B,LM,2021,5.11,161,1300000,80,60,58,66,51,62,1.8,73.0
9464,Diogo Santos,33,Portugal,66,66,260000,2000,Right,C,C,CDM,2019,6.3,185,546000,44,44,48,50,64,70,1.91,83.9
9465,T. Borevković,21,Croatia,66,75,875000,2000,Right,B,C,RCB,2023,6.4,190,2000000,55,32,36,45,65,68,1.93,86.2
9466,J. Jacobson,31,Wales,66,66,425000,3000,Left,B,C,LB,2020,5.11,174,744000,73,52,63,62,60,74,1.8,78.9
9467,Benja,30,Spain,66,66,625000,3000,Right,B,C,ST,2019,6.2,183,969000,51,66,55,54,37,66,1.88,83.0
9468,D. Phillips,23,England,66,75,750000,3000,Right,B,D,GK,2019,6.2,168,1500000,45,17,21,38,17,41,1.88,76.2
9470,J. Riley,21,England,66,75,850000,3000,Right,B,B,RB,2020,6.0,157,1700000,76,46,59,65,61,67,1.83,71.2
9472,Filipe Brigues,27,Portugal,66,66,525000,3000,Right,B,C,RB,2020,5.10,159,1100000,69,47,54,63,61,69,1.78,72.1
9473,J. Zelený,25,Czech Republic,66,69,675000,1000,Left,B,C,LB,2022,6.3,179,1500000,72,45,50,59,65,60,1.91,81.2
9474,S. Svendsen,20,Norway,66,75,1000000,2000,Right,A,B,ST,2021,5.8,148,1500000,81,63,60,70,39,68,1.73,67.1
9475,J. Moreno,21,Colombia,66,77,975000,1000,Left,B,C,CB,2019,6.2,172,1500000,54,27,32,48,64,66,1.88,78.0
9477,H. Rivero,25,Argentina,66,69,825000,1000,Right,B,C,ST,2021,6.4,187,1200000,61,63,37,57,28,67,1.93,84.8
9478,M. Grella,31,United States,66,66,575000,3000,Right,B,B,LM,2018,5.11,181,863000,61,63,57,70,50,67,1.8,82.1
9479,I. Lanni,28,Italy,66,67,525000,1000,Right,C,D,GK,2021,6.1,168,853000,43,15,25,44,17,46,1.85,76.2
9480,A. Sané,25,Senegal,66,69,825000,3000,Right,C,C,ST,2020,6.0,161,1500000,71,63,55,61,28,54,1.83,73.0
9481,F. Castillo,28,Colombia,66,66,500000,1000,Left,B,C,LB,2023,5.9,154,675000,68,38,48,63,62,65,1.75,69.9
9482,M. Galmarini,36,Argentina,66,66,70000,3000,Right,B,B,RM,2019,5.11,170,105000,62,60,65,65,64,73,1.8,77.1
9483,A. Monfray,27,France,66,66,525000,2000,Right,B,C,RB,2019,6.1,168,919000,64,46,52,60,63,78,1.85,76.2
9484,B. Castillo,40,Colombia,66,66,40000,1000,Right,D,D,GK,2021,6.1,190,54000,38,15,21,34,20,38,1.85,86.2
9485,S. Diop,18,France,66,87,1500000,8000,Right,B,B,CAM,2021,5.5,121,4200000,74,57,58,72,32,43,1.65,54.9
9486,Yin Hongbo,28,China PR,66,66,650000,5000,Left,A,B,RM,2021,5.11,165,1400000,68,56,65,64,51,63,1.8,74.8
9487,A. Hainault,32,Canada,66,66,375000,2000,Right,S,C,LCB,2020,6.0,176,544000,44,48,51,56,64,73,1.83,79.8
9488,D. Čotra,33,Serbia,66,66,250000,2000,Left,B,C,LB,2019,6.0,179,338000,68,46,47,61,63,74,1.83,81.2
9489,C. Washington,26,Northern Ireland,66,69,825000,5000,Right,B,C,ST,2019,5.10,187,1600000,77,63,46,64,37,66,1.78,84.8
9490,F. Nimani,29,France,66,66,650000,3000,Left,B,C,ST,2019,6.3,192,943000,69,63,54,57,34,61,1.91,87.1
9492,M. Doyle,36,Republic of Ireland,66,66,90000,2000,Left,B,C,LDM,2019,5.10,157,158000,45,55,56,57,63,80,1.78,71.2
9493,D. Raum,20,Germany,66,77,1100000,2000,Left,B,B,LM,2019,5.11,165,1900000,82,55,57,64,28,56,1.8,74.8
9494,V. Retamal,20,Chile,66,74,825000,1000,Right,C,B,RB,2020,5.7,137,1300000,70,40,54,65,63,62,1.7,62.1
9495,A. Cruz,20,Mexico,66,77,975000,2000,Left,C,C,LB,2019,5.8,137,1800000,66,37,60,63,65,63,1.73,62.1
9496,M. Bruscagin,28,Italy,66,66,525000,2000,Right,B,C,CB,2019,6.0,154,814000,57,24,45,58,64,67,1.83,69.9
9497,C. Morris,22,England,66,74,950000,8000,Right,B,C,ST,2020,6.1,187,2000000,73,60,43,60,35,71,1.85,84.8
9498,A. Syhre,23,Germany,66,72,750000,2000,Right,B,C,CB,2019,6.2,183,1200000,63,28,29,48,64,74,1.88,83.0
9499,L. Paz,29,Colombia,66,66,500000,1000,Right,B,C,CDM,2023,5.9,154,700000,69,53,58,63,63,63,1.75,69.9
9500,L. Dos Santos,25,France,66,69,675000,2000,Right,B,B,LB,2020,5.10,154,1200000,58,45,57,63,65,60,1.78,69.9
9501,A. Akinfenwa,36,England,66,66,230000,2000,Right,B,C,LS,2019,5.10,243,403000,43,64,49,59,35,72,1.78,110.2
9502,Jin Jingdao,26,China PR,66,67,750000,6000,Right,B,B,RM,2020,5.7,146,1700000,72,60,56,70,63,66,1.7,66.2
9504,B. Tetteh,20,Ghana,66,76,1100000,1000,Right,A,B,LS,2022,6.4,203,2500000,75,59,44,63,27,70,1.93,92.1
9507,D. Jones,21,United States,66,77,975000,2000,Left,B,C,CDM,2019,6.4,165,1700000,69,54,55,60,61,75,1.93,74.8
9508,N. Hansen,23,Denmark,66,71,850000,2000,Right,B,B,RM,2019,5.10,170,1300000,84,60,57,66,40,64,1.78,77.1
9509,T. Beltran,30,United States,66,66,475000,2000,Right,B,C,RB,2020,5.8,150,713000,73,52,57,65,64,64,1.73,68.0
9510,D. Peitz,33,Germany,66,66,260000,4000,Left,B,C,CDM,2019,6.5,201,403000,29,50,48,43,72,68,1.96,91.2
9511,D. Starkl,24,Austria,66,69,825000,4000,Right,A,C,LM,2021,5.9,154,1300000,79,61,53,67,33,66,1.75,69.9
9512,D. Erdmann,27,Germany,66,66,550000,4000,Right,A,C,CB,2019,6.2,190,853000,54,41,44,51,68,82,1.88,86.2
9513,J. Vela,25,Colombia,66,69,800000,1000,Left,A,B,CAM,2023,5.9,152,1100000,74,55,65,66,27,52,1.75,68.9
9514,A. Jakobsen,24,Egypt,66,73,900000,2000,Right,B,A,CM,2020,5.11,161,1300000,73,58,64,72,42,62,1.8,73.0
9516,R. Miller,33,Costa Rica,66,66,260000,2000,Left,B,B,CB,2018,6.2,165,390000,66,50,63,60,62,73,1.88,74.8
9517,U. Cardona,19,Mexico,66,76,1000000,3000,Left,B,C,LM,2021,5.10,148,1900000,78,59,60,64,43,50,1.78,67.1
9518,J. Karacan,29,Turkey,66,66,625000,5000,Right,B,B,CM,2019,5.9,148,1200000,72,59,59,67,63,73,1.75,67.1
9519,L. Saldaña,28,Colombia,66,66,500000,1000,Left,B,C,LB,2021,5.7,146,675000,83,49,60,66,60,62,1.7,66.2
9520,G. Roberts,34,England,66,66,325000,15000,Left,B,B,LM,2019,5.10,163,618000,52,65,68,66,36,55,1.78,73.9
9521,K. Bennett,27,England,66,66,675000,4000,Right,B,A,LM,2019,5.5,134,1200000,83,57,57,73,37,51,1.65,60.8
9522,C. Tanner,23,England,66,69,825000,2000,Left,B,B,RM,2020,5.9,146,1500000,78,58,63,70,33,58,1.75,66.2
9523,S. Ernst,23,Germany,66,73,900000,3000,Left,B,B,LDM,2020,5.10,150,1600000,72,54,58,69,50,60,1.78,68.0
9525,A. Taylor,31,England,66,66,425000,3000,Left,B,B,LB,2019,5.10,152,808000,53,44,57,66,65,68,1.78,68.9
9526,K. Yonekura,30,Japan,66,66,475000,4000,Right,B,C,RB,2021,5.9,150,594000,47,34,43,60,68,66,1.75,68.0
9527,Rúben Vinagre,19,Portugal,66,82,1200000,7000,Left,C,A,LWB,2023,5.9,141,3100000,88,54,62,71,53,59,1.75,64.0
9528,M. Drudi,31,Italy,66,66,425000,1000,Right,B,C,RCB,2020,6.0,176,659000,65,52,57,61,65,65,1.83,79.8
9529,K. Ilsø,31,Denmark,66,66,575000,2000,Right,B,B,RCM,2019,6.0,170,719000,68,66,61,69,32,55,1.83,77.1
9530,V. Moren,27,Finland,66,68,625000,4000,Right,B,C,LCB,2020,6.2,168,953000,32,28,40,51,67,60,1.88,76.2
9531,Lucas,21,Brazil,66,76,925000,3000,Right,B,C,CB,2020,6.1,170,2000000,58,33,35,54,66,67,1.85,77.1
9532,J. Norwood,27,England,66,66,675000,5000,Right,B,C,RS,2019,5.9,161,1200000,70,57,53,59,38,69,1.75,73.0
9533,P. Frick,26,Sweden,66,67,775000,2000,Right,C,C,CF,2018,6.0,179,1000000,73,62,53,64,37,81,1.83,81.2
9534,I. Ssewankambo,22,Sweden,66,73,750000,2000,Right,B,C,RB,2018,5.10,176,1100000,87,40,54,64,60,72,1.78,79.8
9535,T. Skarke,21,Germany,66,73,925000,3000,Right,B,C,RM,2020,5.10,157,1600000,77,60,56,65,26,53,1.78,71.2
9536,Luis Marleiro,26,Brazil,66,66,700000,5000,Left,C,C,ST,2021,5.10,170,1300000,81,65,51,62,41,76,1.78,77.1
9537,M. Pulkrab,21,Czech Republic,66,74,975000,1000,Right,C,C,ST,2020,6.1,181,2300000,70,59,43,60,35,74,1.85,82.1
9538,L. Brown,27,England,66,66,525000,4000,Left,C,C,LB,2020,6.0,174,919000,71,55,61,63,62,74,1.83,78.9
9539,R. Gaddis,28,United States,66,66,500000,3000,Right,A,C,LB,2022,5.9,150,750000,79,33,48,63,62,64,1.75,68.0
9540,Lee Yeong Jae,23,Korea Republic,66,73,900000,2000,Left,B,C,RCM,2019,5.9,132,1300000,71,56,60,66,54,60,1.75,59.9
9541,F. Sakala,21,Zambia,66,75,1000000,4000,Right,C,C,LAM,2021,5.10,159,1700000,86,65,50,63,33,67,1.78,72.1
9542,Park Jun Tae,28,Korea Republic,66,66,675000,3000,Left,B,B,ST,2021,5.8,139,844000,92,56,46,74,29,58,1.73,63.0
9543,N. Saint-Ruf,25,France,66,70,700000,2000,Right,C,C,CB,2019,6.2,187,1300000,68,28,43,58,63,72,1.88,84.8
9544,A. Lienhart,32,Austria,66,66,350000,4000,Right,B,B,RB,2019,6.0,172,508000,62,51,63,60,64,70,1.83,78.0
9545,M. Sema,29,Sweden,66,66,625000,2000,Right,A,B,RW,2018,5.8,150,781000,79,60,56,71,40,58,1.73,68.0
9546,M. Bennett,21,England,66,77,1100000,10000,Right,B,B,ST,2020,5.10,141,2400000,81,60,57,66,40,71,1.78,64.0
9547,N. Hasler,27,Liechtenstein,66,66,675000,3000,Right,B,B,RB,2019,5.9,172,979000,69,50,59,68,62,71,1.75,78.0
9548,Q. Moll,27,Germany,66,67,600000,2000,Right,A,C,LCM,2021,6.0,170,915000,61,50,56,60,62,68,1.83,77.1
9549,M. Woods,32,Scotland,66,66,475000,3000,Left,A,B,LDM,2019,5.11,172,831000,75,58,63,67,55,71,1.8,78.0
9550,D. Templeton,29,Scotland,66,66,625000,4000,Right,A,A,LM,2020,5.9,139,1100000,79,60,58,67,46,59,1.75,63.0
9551,Lim Sang Hyub,29,Korea Republic,66,66,625000,3000,Left,B,B,LW,2021,5.11,161,781000,69,65,60,67,43,58,1.8,73.0
9553,S. Yamamoto,33,Japan,66,66,250000,4000,Right,S,B,LB,2021,5.11,152,325000,59,47,59,62,63,70,1.8,68.9
9554,J. Biada,25,Germany,66,68,800000,2000,Right,B,B,RS,2021,5.10,168,1200000,72,66,59,68,38,60,1.78,76.2
9557,D. Mahmudov,28,FYR Macedonia,66,66,650000,3000,Right,A,B,RM,2020,5.7,137,943000,73,65,60,66,32,49,1.7,62.1
9558,Aitor,31,Spain,66,66,425000,2000,Right,B,C,RB,2020,5.11,161,659000,70,42,52,57,63,73,1.8,73.0
9559,A. Vukotić,22,Serbia,66,72,750000,3000,Left,B,C,RCB,2023,6.8,209,1200000,42,38,43,47,64,64,2.03,94.8
9560,M. Marshall,31,Jamaica,66,66,575000,4000,Left,S,B,RM,2019,5.7,152,1000000,91,53,59,69,39,66,1.7,68.9
9561,N. Mohammed,24,Ghana,66,72,875000,2000,Right,B,B,RW,2020,5.8,154,1300000,86,53,54,70,21,52,1.73,69.9
9562,J. Walsh,26,Wales,66,71,725000,5000,Left,B,C,RCB,2020,5.11,154,1300000,67,38,48,58,64,74,1.8,69.9
9563,T. Bergmann,21,Germany,66,75,875000,1000,Right,B,B,CDM,2021,5.11,165,1400000,65,58,70,62,57,68,1.8,74.8
9564,Jony Ñíguez,33,Spain,66,66,260000,2000,Right,C,C,CDM,2019,5.9,159,403000,62,57,55,62,60,72,1.75,72.1
9565,P. Carlgren,26,Sweden,66,70,575000,3000,Right,C,D,GK,2021,6.2,185,762000,33,14,20,43,15,45,1.88,83.9
9566,J. Rossiter,21,England,66,78,1000000,9000,Right,B,C,CDM,2020,5.10,141,2000000,61,48,52,63,63,70,1.78,64.0
9567,S. Sy,22,Senegal,66,74,700000,10000,Right,B,D,GK,2020,6.4,176,1500000,53,17,23,37,16,48,1.93,79.8
9569,R. Nagaki,30,Japan,66,66,475000,4000,Right,C,C,RCM,2021,5.8,159,618000,50,51,66,64,62,67,1.73,72.1
9570,M. Al Shalhoub,37,Saudi Arabia,66,66,220000,8000,Left,B,B,CAM,2019,5.4,146,374000,36,66,71,64,36,39,1.63,66.2
9571,A. Le Tallec,33,France,66,66,400000,2000,Right,B,C,ST,2020,6.0,161,700000,53,67,65,59,39,56,1.83,73.0
9572,D. Vidošić,31,Australia,66,66,575000,4000,Right,A,B,LW,2019,6.0,163,719000,70,68,68,66,50,65,1.83,73.9
